,n,MAPE,MAE,SESGO,MAPE_P90,segmento
1,4900715.0,51.36,3.62,18.29,93.22,NIVEL_NUM
2,259081.0,80.56,12.72,40.02,113.66,NIVEL_NUM
3,46095.0,181.69,59.44,125.56,281.43,NIVEL_NUM
0,798934.0,40.47,4.16,12.02,75.49,GRUPO_EDAD
1,889329.0,48.33,3.05,16.11,89.99,GRUPO_EDAD
2,763666.0,53.9,3.42,19.83,103.93,GRUPO_EDAD
3,984417.0,51.58,3.71,19.67,89.08,GRUPO_EDAD
4,1157736.0,64.71,6.35,27.55,108.48,GRUPO_EDAD
5,611809.0,63.37,6.76,25.31,102.57,GRUPO_EDAD
1,42385.0,28.81,1.18,7.85,53.18,N_PERIODOS
2,106097.0,40.62,2.12,15.15,82.18,N_PERIODOS
3,147055.0,44.41,4.26,8.68,78.43,N_PERIODOS
4,139831.0,39.16,2.61,8.73,73.5,N_PERIODOS
5,190785.0,40.01,2.23,10.53,74.35,N_PERIODOS
6,240981.0,40.84,2.26,11.76,74.09,N_PERIODOS
7,338509.0,42.7,2.28,13.64,77.56,N_PERIODOS
8,530985.0,44.21,2.66,13.78,78.46,N_PERIODOS
9,3469263.0,59.95,5.58,24.39,107.49,N_PERIODOS
