feature,mean_abs
ROLLING_MEAN_2SEM,0.35114265124812666
TENDENCIA_LINEAL,0.11466848722056172
N_PERIODOS_ACTIVOS,0.07653066047247405
GRUPO_EDAD_ORD,0.05099035385357612
DESC_SERVICIO,0.05043987183826618
PERIODO_NUM,0.03631892117767419
SEXO_BIN,0.029026671359637442
REGION,0.023440549487574135
LAG_ATENCIONES_1SEM,0.023286312814164663
SERVICIO_CATEGORIA,0.01745771934136961
ES_MATERNO,0.00638271462903632
REGION_TIPO,0.005802446336977465
NIVEL_NUM,0.00577663615145432
SEMESTRE,0.0033059118100209526
CLUSTER,0.0029110491800727004
ES_PREVENTIVO,0.002259516038109933
ES_TELEMATICA,0.00023644173863757368
